 light_dir_col                                     : Directional Colour
 dof_hq_shallowdof                                 : HQ DOF uses Shallow DOF
 dof_hq_nearplane_out                              : Near start of focus plane
 dof_hq_nearplane_in                               : Near end focus plane
 dof_hq_farplane_out                               : Far start of focus plane
 dof_hq_farplane_in                                : Near end focus plane 
 environmental_blur_in                             : Environmental Blur In
 environmental_blur_out                            : Environmental Blur Out
 environmental_blur_size                           : Environmental Blur Size
 bokeh_brightness_min                              : Bokeh Brightness Threshold Min
 bokeh_brightness_max                              : Bokeh Brightness Threshold Max
 bokeh_fade_min                                    : Bokeh Brightness Threshold Fade Min
 bokeh_fade_max                                    : Bokeh Brightness Threshold Fade Max
 nv_light_dir_mult                                 : Directional Multiplier
 nv_light_amb_down_mult                            : Ambient Down Multiplier
 nv_light_amb_up_mult                              : Ambient Base Multiplier
 nv_lowLum                                         : Low Lum
 nv_highLum                                        : High Lum
 nv_topLum                                         : Top Lum
 nv_scalerLum                                      : Scaler Lum
 nv_offsetLum                                      : Offset
 nv_offsetLowLum                                   : Offset Low Lum
 nv_offsetHighLum                                  : Offset High Lum
 nv_noiseLum                                       : Noise 
 nv_noiseLowLum                                    : Noise Low Lum
 nv_noiseHighLum                                   : Noise High Lum
 nv_bloomLum                                       : Bloom
 nv_colorLum                                       : Colour
 nv_colorLowLum                                    : Low Lum Colour
 nv_colorHighLum                                   : High Lum Colour
 hh_startRange                                     : Start range
 hh_farRange                                       : Far range
 hh_minIntensity                                   : Min Intensity
 hh_maxIntensity                                   : Max Intensity
 hh_displacementU                                  : Displacement Scale U
 hh_displacementV                                  : Displacement Scale V
 hh_tex1UScale                                     : Tex1 U scale
 hh_tex1VScale                                     : Tex1 V scale
 hh_tex1UOffset                                    : Tex1 U offset
 hh_tex1VOffset                                    : Tex1 V offset
 hh_tex2UScale                                     : Tex2 U scale
 hh_tex2VScale                                     : Tex2 V scale
 hh_tex2UOffset                                    : Tex2 U offset
 hh_tex2VOffset                                    : Tex2 V offset
 hh_tex1UFrequencyOffset                           : Tex1 U Frequency offset
 hh_tex1UFrequency                                 : Tex1 U Frequency
 hh_tex1UAmplitude                                 : Tex1 U Amplitude
 hh_tex1VScrollingSpeed                            : Tex1 V Scrolling speed
 hh_tex2UFrequencyOffset                           : Tex2 U Frequency offset
 hh_tex2UFrequency                                 : Tex2 U Frequency
 hh_tex2UAmplitude                                 : Tex2 U Amplitude
 hh_tex2VScrollingSpeed                            : Tex2 V Scrolling speed
 lens_dist_coeff                                   : Distortion Coefficient 1
 lens_dist_cube_coeff                              : Distortion Coefficient 2
 chrom_aberration_coeff                            : Chrom Aberration Coefficient 1
 chrom_aberration_coeff2                           : Chrom Aberration Coefficient 2
 lens_artefacts_intensity                          : Lens Artefacts Global Multiplier
 lens_artefacts_min_exp_intensity                  : Lens Artefacts Min Exposure Fade Mult
 lens_artefacts_max_exp_intensity                  : Lens Artefacts Max Exposure Fade Mult
 blur_vignetting_radius                            : Radius
 blur_vignetting_intensity                         : Intensity
 screen_blur_intensity                             : Intensity 
 sky_zenith_transition_position                    : Zenith Transition (Vertical)
 sky_zenith_transition_east_blend                  : Zenith Transition East Blend
 sky_zenith_transition_west_blend                  : Zenith Transition West Blend
 sky_zenith_blend_start                            : Zenith Blend Start
 sky_zenith_col                                    : Zenith Color
 sky_zenith_col_inten                              : Zenith Color Intensity
 sky_zenith_transition_col                         : Zenith Transition Color
 sky_zenith_transition_col_inten                   : Zenith Transition Intensity
 sky_azimuth_transition_position                   : Azimuth Transition (Horizontal)
 sky_azimuth_east_col                              : Azimuth East Color
 sky_azimuth_east_col_inten                        : Azimuth East Intensity
 sky_azimuth_transition_col                        : Azimuth Transition Color
 sky_azimuth_transition_col_inten                  : Azimuth Transition Intensity
 sky_azimuth_west_col                              : Azimuth West Color
 sky_azimuth_west_col_inten                        : Azimuth West Intensity
 sky_hdr                                           : HDR Intensity
 sky_plane                                         : Plane Color
 sky_plane_inten                                   : Plane Intensity
 sky_sun_col                                       : Sun Color
 sky_sun_disc_col                                  : Sun Disc Color
 sky_sun_disc_size                                 : Disc Size
 sky_sun_hdr                                       : HDR Intensity 
 sky_sun_miephase                                  : Mie Phase
 sky_sun_miescatter                                : Mie Scatter
 sky_sun_mie_intensity_mult                        : Mie Intensity Mult
 sky_sun_influence_radius                          : Influence Radius
 sky_sun_scatter_inten                             : Scatter Intensity
 sky_moon_col                                      : Moon Color
 sky_moon_disc_size                                : Disc Size 
 sky_moon_iten                                     : Moon Intensity
 sky_stars_iten                                    : Starfield Intensity
 sky_moon_influence_radius                         : Moon Influence Radius
 sky_moon_scatter_inten                            : Moon Scatter Intensity
 sky_cloud_gen_frequency                           : Frequency
 sky_cloud_gen_scale                               : Scale 
 sky_cloud_gen_threshold                           : Threshold
 sky_cloud_gen_softness                            : Softness
 sky_cloud_density_mult                            : Density Multiplier
 sky_cloud_density_bias                            : Density Bias
 sky_cloud_mid_col                                 : Mid Color
 sky_cloud_base_col                                : Base Color
 sky_cloud_base_strength                           : Base Strength
 sky_cloud_shadow_col                              : Shadow Color
 sky_cloud_shadow_strength                         : Shadow Strength
 sky_cloud_gen_density_offset                      : Shadow Threshold
 sky_cloud_offset                                  : Color / Shadow Offset
 sky_cloud_overall_strength                        : Detail Overlay
 sky_cloud_overall_color                           : Detail Overlay Color
 sky_cloud_edge_strength                           : Edge Detail
 sky_cloud_fadeout                                 : Fadeout
 sky_cloud_hdr                                     : HDR Intensity  
 sky_cloud_dither_strength                         : Dither Strength
 sky_small_cloud_col                               : Cloud Color
 sky_small_cloud_detail_strength                   : Strength
 sky_small_cloud_detail_scale                      : Scale  
 sky_small_cloud_density_mult                      : Density Multiplier 
 sky_small_cloud_density_bias                      : Density Bias 
 cloud_shadow_density                              : Density
 cloud_shadow_softness                             : Softness  
 cloud_shadow_opacity                              : Opacity
 dir_shadow_num_cascades                           : Num Cascades
 dir_shadow_distance_multiplier                    : Distance Multiplier
 dir_shadow_softness                               : Softness 
 dir_shadow_cascade0_scale                         : Cascade0 Scale
 sprite_brightness                                 : Brightness
 sprite_size                                       : Scale
 sprite_corona_screenspace_expansion               : Corona Screenspace Expansion
 Lensflare_visibility                              : Lensflare Visibility Mult
 sprite_distant_light_twinkle                      : Distant Lights Twinkle Mult
 water_reflection                                  : Reflection
 water_reflection_far_clip                         : Reflection Far Clip
 water_reflection_lod                              : Reflection LOD
 water_reflection_sky_flod_range                   : Reflection Sky FLOD Range
 water_reflection_lod_range_enabled                : Reflection LOD Range Enabled
 water_reflection_lod_range_hd_start               : Reflection LOD Range HD Start
 water_reflection_lod_range_hd_end                 : Reflection LOD Range HD End
 water_reflection_lod_range_orphanhd_start         : Reflection LOD Range Orphan HD Start
 water_reflection_lod_range_orphanhd_end           : Reflection LOD Range Orphan HD End
 water_reflection_lod_range_lod_start              : Reflection LOD Range LOD Start
 water_reflection_lod_range_lod_end                : Reflection LOD Range LOD End
 water_reflection_lod_range_slod1_start            : Reflection LOD Range SLOD1 Start
 water_reflection_lod_range_slod1_end              : Reflection LOD Range SLOD1 End
 water_reflection_lod_range_slod2_start            : Reflection LOD Range SLOD2 Start
 water_reflection_lod_range_slod2_end              : Reflection LOD Range SLOD2 End
 water_reflection_lod_range_slod3_start            : Reflection LOD Range SLOD3 Start
 water_reflection_lod_range_slod3_end              : Reflection LOD Range SLOD3 End
 water_reflection_lod_range_slod4_start            : Reflection LOD Range SLOD4 Start
 water_reflection_lod_range_slod4_end              : Reflection LOD Range SLOD4 End
 water_reflection_height_offset                    : Reflection Height Offset
 water_reflection_height_override                  : Reflection Height Override
 water_reflection_height_override_amount           : Reflection Height Override Amount
 water_reflection_distant_light_intensity          : Reflection Distant Light Intensity
 water_reflection_corona_intensity                 : Reflection Corona Intensity
 water_foglight                                    : Fog Light
 water_interior                                    : Fog Interior
 water_fogstreaming                                : Enable Fog Streaming
 water_foam_intensity_mult                         : Foam Intensity Mult
 water_drying_speed_mult                           : Drying Speed Mult
 water_specular_intensity                          : Specular Intensity
 mirror_reflection_local_light_intensity           : Reflection Local Light Intensity
 fog_start                                         : Start
 fog_near_col                                      : Near Colour
 fog_near_col_a                                    : 
 fog_col                                           : Sun Colour
 fog_col_a                                         :  
 fog_sun_lighting_calc_pow                         : Sun lighting calc power
 fog_moon_col                                      : Moon Colour
 fog_moon_col_a                                    :   
 fog_moon_lighting_calc_pow                        : Moon ligting calc power
 fog_east_col                                      : Far Colour
 fog_east_col_a                                    :    
 fog_density                                       : Fog Density
 fog_falloff                                       : Fog Height Falloff
 fog_base_height                                   : Fog Base Height
 fog_alpha                                         : Fog Alpha
 fog_horizon_tint_scale                            : Fog Horizon Tint Scale
 fog_hdr                                           : Fog HDR Intensity
 fog_haze_col                                      : Haze Colour
 fog_haze_density                                  : Haze Density
 fog_haze_alpha                                    : Haze Alpha
 fog_haze_hdr                                      : Haze HDR Intensity
 fog_haze_start                                    : Haze Start
 fog_shape_bottom                                  : Fog shape bottom
 fog_shape_top                                     : Fog shape top
 fog_shape_log_10_of_visibility                    : Fog log10(visibility)
 fog_shape_weight_0                                : weight 0   
 fog_shape_weight_1                                : weight 0 
 fog_shape_weight_2                                : weight 0  
 fog_shape_weight_3                                : weight 0
 fog_shadow_amount                                 : Fog Shadow Amount
 fog_shadow_falloff                                : Fog Shadow Falloff
 fog_shadow_base_height                            : Fog Shadow Base Height
 fog_volume_light_range                            : Fog Volumetric Lights Range
 fog_volume_light_fade                             : Fog Volumetric Lights Fade Range
 fog_volume_light_intensity                        : Fog Volumetric Lights Intensity Scale
 fog_volume_light_size                             : Fog Volumetric Lights Size Scale
 fogray_contrast                                   : Fog Ray Contrast
 fogray_intensity                                  : Fog Ray Intensity
 fogray_density                                    : Fog Ray Density
 fogray_nearfade                                   : Fog Ray NearFade
 fogray_farfade                                    : Fog Ray FarFade
 reflection_lod_range_start                        : Reflection LOD range - start
 reflection_lod_range_end                          : Reflection LOD range - end
 reflection_slod_range_start                       : Reflection SLOD range - start
 reflection_slod_range_end                         : Reflection SLOD range - end
 reflection_interior_range                         : Reflection Interior range
 reflection_tweak_interior_amb                     : Reflection Interior Ambient Boost
 reflection_tweak_exterior_amb                     : Reflection Exterior Ambient Boost
 reflection_tweak_emissive                         : Reflection Emissive Boost
 reflection_tweak_directional                      : Reflection Directional Multiplier
 reflection_hdr_mult                               : Reflection HDR Mult
 far_clip                                          : Far Clip
 temperature                                       : Temperature
 particle_emissive_intensity_mult                  : Particle Emissive Intensity Mult
 vfxlightning_intensity_mult                       : Vfx Lightning Intensity Mult
 vfxlightning_visibility                           : Vfx Lightning Visibility
 particle_light_intensity_mult                     : GPU Particle Light Intensity Mult
 natural_ambient_multiplier                        : Natural Ambient Multiplier
 artificial_int_ambient_multiplier                 : Artifical Ambient Multiplier
 fog_cut_off                                       : Fog Cut Off
 no_weather_fx                                     : No Weather Fx
 no_gpu_fx                                         : No GPU Fx
 no_rain                                           : No Rain
 no_rain_ripples                                   : No Rain Ripple
 fogvolume_density_scalar                          : FogVolume Density Scalar
 fogvolume_density_scalar_interior                 : FogVolume Density Scalar Interior
 fogvolume_fog_scaler                              : FogVolume Fog Scaler
 time_offset                                       : Time Offset
 vehicle_dirt_mod                                  : Vehicle Dirt Mod
 wind_speed_mult                                   : Wind Speed Mult
 entity_reject                                     : Entity reject
 lod_mult                                          : Lod Mult (Global)
 enable_occlusion                                  : Enable Occlusion
 enable_shadow_occlusion                           : Enable Shadow Occlusion
 render_exterior                                   : Enable Exterior
 portal_weight                                     : Portal Weight
 light_falloff_mult                                : Light FallOff Mult
 lodlight_range_mult                               : LOD Light Range Mult
 shadow_distance_mult                              : Shadow Distance Mult
 lod_mult_hd                                       : Lod Mult HD
 lod_mult_orphanhd                                 : Lod Mult orphan HD
 lod_mult_lod                                      : Lod Mult LOD
 lod_mult_slod1                                    : Lod Mult SLOD1
 lod_mult_slod2                                    : Lod Mult SLOD2
 lod_mult_slod3                                    : Lod Mult SLOD3
 lod_mult_slod4                                    : Lod Mult SLOD4
